帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
8,7,606.98,468.85,5334.03,4548.23,34.46,36.15,1
8,8,618.36,395.3,4829.43,3948.48,27.53,28.61,1
8,9,964.43,429.31,6339.92,4255.6,48.28,32.47,1
8,10,768.24,325.42,4762.7,3211.43,26.61,19.34,1
8,11,943.38,351.85,5708.44,3478.6,39.61,22.7,0
8,12,1432.32,409.56,8352.21,4073.36,75.94,30.18,0
8,14,1193.34,421.08,7251.1,4187.71,60.81,31.62,0
8,13,1094.28,346.92,6338.91,3392.3,48.27,21.61,0
8,15,1451.95,478.97,8677.69,4745.15,80.41,38.63,0
8,16,1211.84,514.99,7749.99,4983.95,67.66,41.63,0
8,17,1490.75,667.96,9241.37,6018.48,88.15,54.64,0
8,18,926.06,330.52,5456.68,3232.68,36.15,19.6,1
8,19,924.56,233.45,4435.4,1823.32,22.12,1.88,1
8,20,1175.39,252.59,5949.41,1962.89,42.92,3.64,0
8,21,1394.17,317.44,7711.45,2903.94,67.13,15.47,0
8,23,964.23,521.29,6840.11,4977.05,55.16,41.54,0
8,6,1789.21,894.48,10467.44,7080.75,105.0,68.0,3
8,22,627.77,210.72,2825.93,1673.85,0.0,0.0,3
9,1,393.77,659.08,5791.72,5615.5,40.75,49.57,1
9,2,860.85,419.44,5877.95,4163.97,41.94,31.32,1
9,3,639.69,341.62,4432.89,3419.28,22.08,21.95,1
9,4,933.92,648.51,7267.46,5719.85,61.03,50.88,1
9,5,882.66,488.29,6379.92,4726.61,48.84,38.39,1
9,7,606.98,468.85,5333.9,4548.1,34.46,36.15,1
9,8,618.36,395.3,4829.31,3948.36,27.53,28.61,1
9,9,964.43,429.3,6339.77,4255.5,48.28,32.47,1
9,10,768.24,325.42,4762.56,3211.32,26.61,19.34,1
9,11,943.38,351.85,5708.27,3478.5,39.61,22.7,0
9,12,1432.32,409.56,8352.1,4073.32,75.93,30.18,0
9,14,1193.34,421.08,7250.97,4187.66,60.8,31.62,0
9,13,1094.28,346.92,6338.75,3392.21,48.27,21.61,0
9,15,1451.95,478.97,8677.6,4745.12,80.41,38.63,0
9,16,1211.84,514.99,7749.87,4983.9,67.66,41.63,0
9,17,1490.75,667.96,9241.34,6018.5,88.15,54.64,0
9,18,926.06,330.52,5456.53,3232.57,36.15,19.61,1
9,19,924.57,233.45,4435.29,1823.25,22.12,1.88,1
9,20,1175.39,252.59,5949.23,1962.81,42.92,3.64,0
9,21,1394.17,317.44,7711.36,2903.98,67.13,15.47,0
9,23,964.23,521.29,6839.99,4976.97,55.16,41.54,0
9,6,1789.21,894.48,10467.5,7080.85,105.0,68.0,3
9,22,627.77,210.7,2825.58,1673.44,0.0,0.0,3
10,1,393.77,659.08,5791.72,5615.5,40.75,49.57,1
10,2,860.85,419.44,5877.95,4163.97,41.94,31.32,1
10,3,639.69,341.62,4432.89,3419.28,22.08,21.95,1
10,4,933.92,648.51,7267.46,5719.85,61.03,50.88,1
10,5,882.66,488.29,6379.92,4726.61,48.84,38.39,1
10,7,606.98,468.85,5333.9,4548.1,34.46,36.15,1
10,8,618.36,395.3,4829.31,3948.36,27.53,28.61,1
10,9,964.43,429.3,6339.77,4255.5,48.28,32.47,1
10,10,768.24,325.42,4762.56,3211.32,26.61,19.34,1
10,11,943.38,351.85,5708.27,3478.5,39.61,22.7,0
10,12,1432.32,409.56,8352.1,4073.32,75.93,30.18,0
10,14,1193.34,421.08,7250.97,4187.66,60.8,31.62,0
10,13,1094.28,346.92,6338.75,3392.21,48.27,21.61,0
10,15,1451.95,478.97,8677.6,4745.12,80.41,38.63,0
10,16,1211.84,514.99,7749.87,4983.9,67.66,41.63,0
10,17,1490.75,667.96,9241.34,6018.5,88.15,54.64,0
10,18,926.06,330.52,5456.53,3232.57,36.15,19.61,1
10,19,924.57,233.45,4435.29,1823.25,22.12,1.88,1
10,20,1175.39,252.59,5949.23,1962.81,42.92,3.64,0
10,21,1394.17,317.44,7711.36,2903.98,67.13,15.47,0
10,23,964.23,521.29,6839.99,4976.97,55.16,41.54,0
10,6,1789.21,894.48,10467.5,7080.85,105.0,68.0,3
10,22,627.77,210.7,2825.58,1673.44,0.0,0.0,3
11,1,393.77,659.08,5791.72,5615.6,40.76,49.58,1
11,2,860.85,419.44,5877.88,4164.0,41.94,31.32,1
11,3,639.69,341.6,4432.52,3419.14,22.08,21.95,1
11,4,933.92,648.51,7267.51,5719.89,61.04,50.89,1
11,5,882.66,488.29,6379.9,4726.67,48.84,38.4,1
11,7,606.98,468.85,5333.82,4548.18,34.47,36.15,1
11,8,618.36,395.3,4829.16,3948.41,27.53,28.61,1
11,9,964.43,429.3,6339.74,4255.54,48.29,32.47,1
11,10,768.24,325.42,4762.36,3211.31,26.62,19.34,1
11,11,943.38,351.85,5708.16,3478.5,39.61,22.7,0
11,12,1432.32,409.56,8352.11,4073.3,75.94,30.18,0
11,14,1193.34,421.08,7250.96,4187.65,60.81,31.62,0
11,13,1094.28,346.92,6338.68,3392.2,48.27,21.62,0
11,15,1451.95,478.97,8677.62,4745.11,80.41,38.63,0
11,16,1211.84,514.99,7749.9,4983.92,67.66,41.63,0
11,17,1490.75,667.96,9241.37,6018.46,88.15,54.64,0
11,18,926.06,330.52,5456.39,3232.57,36.15,19.61,1
11,19,924.57,233.45,4434.97,1823.1,22.12,1.88,1
11,20,1175.39,252.59,5949.07,1962.69,42.92,3.64,0
11,21,1394.17,317.44,7711.34,2903.92,67.13,15.48,0
11,23,964.23,521.29,6839.97,4976.99,55.16,41.54,0
11,6,1789.21,894.48,10467.48,7080.72,105.0,68.0,3
11,22,627.77,210.71,2825.07,1673.3,0.0,0.0,3
12,1,393.77,659.08,5791.68,5615.43,40.76,49.57,1
12,2,860.85,419.44,5877.82,4163.96,41.94,31.32,1
12,3,639.69,341.6,4432.54,3419.11,22.08,21.95,1
12,4,933.92,648.51,7267.45,5719.82,61.03,50.88,1
12,5,882.65,488.29,6379.8,4726.59,48.84,38.39,1
12,7,606.98,468.85,5333.79,4548.08,34.47,36.15,1
12,8,618.36,395.3,4829.15,3948.33,27.53,28.61,1
12,9,964.43,429.3,6339.64,4255.49,48.29,32.47,1
12,10,768.24,325.42,4762.35,3211.31,26.61,19.34,1
12,11,943.36,351.85,5708.03,3478.51,39.61,22.7,0
12,12,1432.33,409.55,8352.0,4073.32,75.93,30.18,0
12,14,1193.34,421.08,7250.87,4187.7,60.8,31.62,0
12,13,1094.28,346.92,6338.58,3392.24,48.27,21.61,0
12,15,1451.95,478.97,8677.55,4745.17,80.41,38.63,0
12,16,1211.84,514.99,7749.82,4983.92,67.66,41.63,0
12,17,1490.75,667.96,9241.36,6018.51,88.15,54.64,0
12,18,926.06,330.52,5456.33,3232.58,36.15,19.61,1
12,19,924.57,233.45,4434.99,1823.28,22.12,1.88,1
12,20,1175.39,252.59,5948.98,1962.89,42.92,3.64,0
12,21,1394.18,317.42,7711.12,2903.78,67.13,15.47,0
12,23,964.23,521.29,6839.9,4976.93,55.16,41.54,0
12,6,1789.21,894.48,10467.58,7080.85,105.0,68.0,3
12,22,627.77,210.71,2825.25,1673.45,0.0,0.0,3
13,1,393.77,659.08,5791.64,5615.41,40.76,49.57,1
13,2,860.85,419.44,5877.78,4163.93,41.94,31.32,1
13,3,639.69,341.6,4432.51,3419.07,22.08,21.95,1
13,4,933.92,648.51,7267.41,5719.79,61.03,50.88,1
13,5,882.65,488.29,6379.76,4726.55,48.84,38.39,1
13,7,606.98,468.85,5333.75,4548.05,34.47,36.15,1
13,8,618.36,395.3,4829.11,3948.29,27.53,28.61,1
13,9,964.43,429.3,6339.6,4255.46,48.28,32.47,1
13,10,768.24,325.42,4762.31,3211.27,26.61,19.34,1
13,11,943.36,351.85,5708.0,3478.47,39.61,22.7,0
13,12,1432.33,409.55,8351.98,4073.28,75.93,30.18,0
13,14,1193.34,421.08,7250.85,4187.68,60.8,31.62,0
13,13,1094.28,346.92,6338.54,3392.2,48.27,21.61,0
13,15,1451.95,478.97,8677.53,4745.14,80.41,38.63,0
13,16,1211.84,514.99,7749.79,4983.89,67.66,41.63,0
13,17,1490.75,667.96,9241.34,6018.5,88.15,54.64,0
13,18,926.06,330.52,5456.29,3232.54,36.15,19.61,1
13,19,924.57,233.45,4434.96,1823.24,22.12,1.88,1
13,20,1175.39,252.59,5948.94,1962.85,42.92,3.64,0
13,21,1394.18,317.42,7711.1,2903.74,67.13,15.47,0
13,23,964.23,521.29,6839.86,4976.9,55.16,41.54,0
13,6,1789.21,894.48,10467.59,7080.85,105.0,68.0,3
13,22,627.77,210.7,2825.22,1673.4,0.0,0.0,3
14,1,393.77,659.08,5791.66,5615.42,40.76,49.57,1
14,2,860.85,419.44,5877.79,4163.93,41.94,31.32,1
14,3,639.69,341.6,4432.5,3419.07,22.08,21.95,1
14,4,933.92,648.51,7267.42,5719.8,61.03,50.88,1
14,5,882.65,488.29,6379.77,4726.56,48.84,38.39,1
14,7,606.98,468.85,5333.76,4548.05,34.47,36.15,1
14,8,618.36,395.3,4829.11,3948.3,27.53,28.61,1
14,9,964.43,429.3,6339.61,4255.47,48.29,32.47,1
14,10,768.24,325.42,4762.3,3211.27,26.61,19.34,1
14,11,943.36,351.85,5707.99,3478.46,39.61,22.7,0
14,12,1432.33,409.55,8351.98,4073.29,75.93,30.18,0
14,14,1193.34,421.08,7250.85,4187.68,60.8,31.62,0
14,13,1094.28,346.92,6338.54,3392.2,48.27,21.61,0
14,15,1451.95,478.97,8677.53,4745.15,80.41,38.63,0
14,16,1211.84,514.99,7749.8,4983.89,67.66,41.63,0
14,17,1490.75,667.96,9241.35,6018.5,88.15,54.64,0
14,18,926.06,330.52,5456.29,3232.54,36.15,19.61,1
14,19,924.57,233.45,4434.93,1823.22,22.12,1.88,1
14,20,1175.39,252.59,5948.93,1962.83,42.92,3.64,0
14,21,1394.18,317.42,7711.1,2903.73,67.13,15.47,0
14,23,964.23,521.29,6839.87,4976.91,55.16,41.54,0
14,6,1789.21,894.48,10467.58,7080.84,105.0,68.0,3
14,22,627.77,210.7,2825.18,1673.38,0.0,0.0,3
15,1,393.77,659.08,5791.75,5615.52,40.75,49.57,1
15,2,860.85,419.44,5877.98,4164.01,41.94,31.32,1
15,3,639.69,341.6,4432.79,3419.17,22.08,21.95,1
15,4,933.92,648.51,7267.48,5719.86,61.03,50.88,1
15,5,882.65,488.29,6379.9,4726.63,48.84,38.39,1
15,7,606.98,468.85,5333.94,4548.14,34.46,36.15,1
15,8,618.36,395.3,4829.34,3948.39,27.53,28.61,1
15,9,964.43,429.3,6339.78,4255.53,48.28,32.47,1
15,10,768.24,325.42,4762.59,3211.36,26.61,19.34,1
15,11,943.36,351.85,5708.23,3478.53,39.61,22.7,0
15,12,1432.33,409.55,8352.1,4073.3,75.93,30.18,0
15,14,1193.34,421.08,7251.0,4187.71,60.81,31.62,0
15,13,1094.28,346.92,6338.77,3392.25,48.27,21.61,0
15,15,1451.95,478.97,8677.61,4745.16,80.41,38.63,0
15,16,1211.84,514.99,7749.88,4983.93,67.66,41.63,0
15,17,1490.75,667.96,9241.33,6018.52,88.15,54.64,0
15,18,926.06,330.52,5456.56,3232.61,36.15,19.61,1
15,19,924.57,233.45,4435.34,1823.32,22.12,1.88,1
15,20,1175.39,252.59,5949.28,1962.9,42.92,3.64,0
15,21,1394.18,317.42,7711.31,2903.74,67.13,15.47,0
15,23,964.23,521.28,6839.98,4976.95,55.16,41.54,0
15,6,1789.21,894.48,10467.48,7080.86,105.0,68.0,3
15,22,627.77,210.7,2825.65,1673.52,0.0,0.0,3
16,1,393.77,659.08,5791.75,5615.52,40.75,49.57,1
16,2,860.85,419.44,5877.98,4164.01,41.94,31.32,1
16,3,639.69,341.6,4432.79,3419.17,22.08,21.95,1
16,4,933.92,648.51,7267.48,5719.86,61.03,50.88,1
16,5,882.65,488.29,6379.9,4726.63,48.84,38.39,1
16,7,606.98,468.85,5333.94,4548.14,34.46,36.15,1
16,8,618.36,395.3,4829.34,3948.39,27.53,28.61,1
16,9,964.43,429.3,6339.78,4255.53,48.28,32.47,1
16,10,768.24,325.42,4762.59,3211.36,26.61,19.34,1
16,11,943.36,351.85,5708.23,3478.53,39.61,22.7,0
16,12,1432.33,409.55,8352.1,4073.3,75.93,30.18,0
16,14,1193.34,421.08,7251.0,4187.71,60.81,31.62,0
16,13,1094.28,346.92,6338.77,3392.25,48.27,21.61,0
16,15,1451.95,478.97,8677.61,4745.16,80.41,38.63,0
16,16,1211.84,514.99,7749.88,4983.93,67.66,41.63,0
16,17,1490.75,667.96,9241.33,6018.52,88.15,54.64,0
16,18,926.06,330.52,5456.56,3232.61,36.15,19.61,1
16,19,924.57,233.45,4435.34,1823.32,22.12,1.88,1
16,20,1175.39,252.59,5949.28,1962.9,42.92,3.64,0
16,21,1394.18,317.42,7711.31,2903.74,67.13,15.47,0
16,23,964.23,521.28,6839.98,4976.95,55.16,41.54,0
16,6,1789.21,894.48,10467.48,7080.86,105.0,68.0,3
16,22,627.77,210.7,2825.65,1673.52,0.0,0.0,3
17,1,393.77,659.08,5791.42,5615.29,40.75,49.57,1
17,2,860.85,419.44,5877.61,4163.78,41.94,31.32,1
17,3,639.69,341.6,4432.31,3418.91,22.08,21.95,1
17,4,933.92,648.51,7267.25,5719.69,61.03,50.88,1
17,5,882.65,488.29,6379.57,4726.41,48.83,38.39,1
17,7,606.98,468.85,5333.54,4547.9,34.46,36.15,1
17,8,618.36,395.3,4828.88,3948.11,27.53,28.61,1
17,9,964.43,429.3,6339.44,4255.31,48.28,32.47,1
17,10,768.23,325.44,4762.23,3211.26,26.61,19.34,1
17,11,943.36,351.85,5707.83,3478.32,39.61,22.7,0
17,12,1432.33,409.55,8351.9,4073.16,75.93,30.18,0
17,14,1193.34,421.08,7250.71,4187.53,60.8,31.62,0
17,13,1094.28,346.92,6338.4,3392.04,48.27,21.61,0
17,15,1451.95,478.97,8677.44,4745.01,80.4,38.63,0
17,16,1211.84,514.99,7749.67,4983.76,67.66,41.63,0
17,17,1490.75,667.96,9241.29,6018.42,88.15,54.64,0
17,18,926.06,330.52,5456.13,3232.38,36.15,19.61,1
17,19,924.57,233.45,4434.82,1823.09,22.12,1.88,1
17,20,1175.39,252.59,5948.83,1962.7,42.92,3.64,0
17,21,1394.18,317.42,7711.0,2903.58,67.13,15.47,0
17,23,964.23,521.28,6839.69,4976.75,55.16,41.54,0
17,6,1789.21,894.48,10467.61,7080.85,105.0,68.0,3
17,22,627.77,210.7,2825.08,1673.25,0.0,0.0,3
18,1,393.77,659.08,5791.42,5615.29,40.75,49.57,1
18,2,860.85,419.44,5877.61,4163.77,41.94,31.32,1
18,3,639.69,341.6,4432.31,3418.91,22.08,21.95,1
18,4,933.92,648.51,7267.25,5719.69,61.03,50.88,1
18,5,882.65,488.29,6379.57,4726.41,48.83,38.39,1
18,7,606.98,468.85,5333.54,4547.9,34.46,36.15,1
18,8,618.36,395.3,4828.88,3948.11,27.53,28.61,1
18,9,964.43,429.3,6339.44,4255.31,48.28,32.47,1
18,10,768.23,325.44,4762.23,3211.26,26.61,19.34,1
18,11,943.36,351.85,5707.83,3478.32,39.61,22.7,0
18,12,1432.33,409.55,8351.9,4073.16,75.93,30.18,0
18,14,1193.34,421.08,7250.71,4187.53,60.8,31.62,0
18,13,1094.28,346.92,6338.39,3392.04,48.27,21.61,0
18,15,1451.95,478.97,8677.43,4745.0,80.4,38.63,0
18,16,1211.84,514.99,7749.67,4983.76,67.66,41.63,0
18,17,1490.75,667.96,9241.28,6018.41,88.15,54.64,0
18,18,926.06,330.52,5456.13,3232.38,36.15,19.61,1
18,19,924.57,233.45,4434.82,1823.09,22.12,1.88,1
18,20,1175.39,252.59,5948.83,1962.71,42.92,3.64,0
18,21,1394.18,317.42,7711.0,2903.58,67.13,15.47,0
18,23,964.23,521.28,6839.69,4976.75,55.16,41.54,0
18,6,1789.21,894.48,10467.61,7080.85,105.0,68.0,3
18,22,627.77,210.7,2825.08,1673.25,0.0,0.0,3
19,1,393.77,659.08,5791.42,5615.29,40.75,49.57,1
19,2,860.85,419.44,5877.61,4163.78,41.94,31.32,1
19,3,639.69,341.6,4432.31,3418.91,22.08,21.95,1
19,4,933.92,648.51,7267.25,5719.69,61.03,50.88,1
19,5,882.65,488.29,6379.57,4726.41,48.83,38.39,1
19,7,606.98,468.85,5333.54,4547.9,34.46,36.15,1
19,8,618.36,395.3,4828.88,3948.11,27.53,28.61,1
19,9,964.43,429.3,6339.44,4255.31,48.28,32.47,1
19,10,768.23,325.44,4762.23,3211.26,26.61,19.34,1
19,11,943.36,351.85,5707.82,3478.3,39.61,22.7,0
19,12,1432.33,409.55,8351.89,4073.16,75.93,30.18,0
19,14,1193.34,421.08,7250.71,4187.53,60.8,31.62,0
19,13,1094.28,346.92,6338.39,3392.04,48.27,21.61,0
19,15,1451.95,478.97,8677.43,4745.0,80.4,38.63,0
19,16,1211.84,514.99,7749.67,4983.77,67.66,41.63,0
19,17,1490.75,667.96,9241.28,6018.41,88.15,54.64,0
19,18,926.06,330.52,5456.13,3232.38,36.15,19.61,1
19,19,924.57,233.45,4434.82,1823.09,22.12,1.88,1
19,20,1175.39,252.59,5948.83,1962.71,42.92,3.64,0
19,21,1394.18,317.42,7711.0,2903.58,67.13,15.47,0
19,23,964.23,521.28,6839.69,4976.76,55.16,41.54,0
19,6,1789.21,894.48,10467.61,7080.85,105.0,68.0,3
19,22,627.77,210.7,2825.08,1673.26,0.0,0.0,3
20,1,393.77,659.08,5791.61,5615.9,40.76,49.58,1
20,2,860.85,419.44,5877.94,4164.28,41.94,31.32,1
20,3,639.7,341.61,4432.77,3419.56,22.08,21.96,1
20,4,933.92,648.51,7267.42,5720.15,61.03,50.89,1
20,5,882.65,488.29,6379.85,4726.91,48.84,38.4,1
20,7,606.98,468.85,5333.82,4548.48,34.47,36.15,1
20,8,618.37,395.3,4829.18,3948.67,27.53,28.61,1
20,9,964.43,429.3,6339.77,4255.79,48.29,32.47,1
20,10,768.23,325.44,4762.6,3211.79,26.62,19.34,1
20,11,943.34,351.85,5708.09,3478.76,39.61,22.7,0
20,12,1432.33,409.55,8352.22,4073.43,75.94,30.18,0
20,13,1094.24,346.91,6338.56,3392.39,48.27,21.61,0
20,14,1193.34,421.08,7251.04,4187.89,60.81,31.62,0
20,15,1451.94,478.97,8677.63,4745.28,80.41,38.63,0
20,16,1211.84,514.99,7749.9,4984.14,67.66,41.63,0
20,17,1490.75,667.96,9241.33,6018.66,88.15,54.64,0
20,18,926.06,330.52,5456.5,3232.82,36.15,19.61,1
20,19,924.57,233.45,4435.27,1823.45,22.12,1.88,1
20,20,1175.38,252.57,5949.16,1962.67,42.92,3.63,0
