帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
634,8,981.35,337.29,7007.12,1355.89,57.07,22.29,0
634,2,508.8,711.12,4345.29,2303.18,14.38,34.9,1
634,21,939.26,587.98,6442.23,2405.48,48.01,36.26,1
634,6,964.35,407.55,6825.69,1642.2,54.16,26.1,1
634,51,1086.41,444.48,7311.99,1990.2,61.96,30.73,0
634,5,541.76,272.12,5153.58,403.71,27.34,9.62,1
634,20,793.12,566.04,5826.44,2087.75,38.13,32.03,0
634,47,870.44,251.96,6643.33,809.76,51.23,15.02,0
634,7,1117.34,635.79,7160.86,2886.29,59.53,42.66,0
634,13,647.03,300.17,5578.71,686.97,34.16,13.39,0
634,44,1676.53,401.99,9996.24,2691.33,105.0,40.07,1
634,9,273.94,318.96,3893.81,207.86,7.14,7.01,1
634,11,544.37,409.38,4958.2,1017.07,24.21,17.78,1
634,12,243.58,524.97,3448.36,1076.79,0.0,18.58,1
634,19,1120.8,395.03,7539.24,1822.5,65.6,28.5,1
634,29,894.53,378.6,6559.33,1408.39,49.89,22.99,1
634,3,1102.01,391.28,7461.46,1777.54,64.35,27.9,0
634,17,686.79,203.52,5900.95,317.77,39.33,8.47,1
634,37,254.7,206.88,3977.38,-318.78,8.48,0.0,3
634,46,1386.27,973.2,7846.16,4789.92,70.52,68.0,3
634,53,597.84,177.59,5545.12,68.54,33.62,5.16,3
635,6,965.94,408.2,6802.12,1653.67,54.22,29.9,1
635,15,501.96,368.87,4773.79,775.47,22.07,16.62,0
635,21,940.61,588.54,6415.56,2426.83,48.1,41.59,1
635,8,984.15,337.04,6991.6,1360.98,57.23,25.47,0
635,1,841.92,422.95,6221.78,1532.62,45.02,28.07,0
635,2,509.28,709.36,4292.16,2318.61,14.43,39.96,1
635,10,1162.68,902.0,6941.05,4172.91,56.43,68.0,1
635,14,520.31,444.18,4742.57,1142.06,21.57,22.16,0
635,20,794.31,566.19,5791.07,2105.2,38.2,36.73,0
635,9,275.74,318.37,3832.23,206.35,7.14,8.01,1
635,7,1118.79,635.2,7146.82,2906.08,59.69,48.84,0
635,13,647.87,301.14,5532.73,691.25,34.1,15.35,0
635,47,871.99,252.68,6614.38,811.9,51.25,17.17,0
635,5,542.72,272.54,5102.82,403.66,27.28,11.0,1
635,44,1675.4,401.25,10004.9,2694.59,105.0,45.64,1
635,51,1091.42,443.91,7312.73,2004.0,62.32,35.2,0
635,12,245.0,524.91,3381.77,1089.25,0.0,21.36,1
635,11,545.32,409.0,4908.27,1021.6,24.2,20.34,1
635,19,1124.17,396.27,7532.11,1839.1,65.8,32.7,1
635,3,1107.68,394.44,7460.68,1805.96,64.67,32.2,0
635,17,687.24,204.43,5856.03,315.6,39.23,9.66,1
635,29,896.09,377.36,6534.42,1409.34,49.98,26.21,1
635,37,254.79,207.67,3905.28,-323.43,8.3,0.0,3
635,53,597.76,178.29,5492.88,62.71,33.47,5.84,3
636,6,967.81,409.65,6815.19,1666.7,54.26,26.12,1
636,15,502.06,369.22,4775.48,779.73,21.95,14.49,0
636,21,943.04,587.28,6434.74,2430.5,48.24,36.14,1
636,8,985.39,337.07,7004.27,1365.91,57.26,22.18,0
636,10,1162.27,901.48,6948.25,4179.43,56.37,59.08,1
636,51,1096.54,444.6,7342.96,2019.12,62.63,30.75,0
636,20,795.48,566.25,5800.95,2112.4,38.19,31.97,0
636,9,279.45,318.43,3848.17,213.82,7.25,7.07,1
636,7,1120.45,635.39,7162.19,2915.88,59.76,42.51,0
636,2,511.83,708.2,4306.71,2323.53,14.52,34.74,1
