帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
8,5,607.02,469.17,5341.0,4557.95,35.03,36.53,0
8,7,617.91,395.46,4833.8,3957.96,28.1,29.05,0
8,8,965.47,429.75,6350.63,4267.94,48.82,32.92,0
8,10,943.19,352.02,5713.05,3489.73,40.11,23.22,1
8,12,767.78,325.96,4770.26,3226.77,27.23,19.94,0
8,14,1094.31,347.32,6345.64,3406.75,48.75,22.18,1
8,15,1193.27,421.01,7253.6,4195.92,61.15,32.02,1
8,13,1432.31,409.55,8354.22,4082.84,76.19,30.61,1
8,18,1452.08,478.98,8679.95,4753.74,80.64,38.97,1
8,16,1212.04,514.83,7752.86,4990.39,67.97,41.92,1
8,17,926.24,331.14,5466.97,3249.53,36.75,20.22,0
8,11,1175.43,253.12,5958.32,1983.33,43.46,4.44,1
8,19,1491.82,668.55,9246.78,6027.54,88.38,54.85,1
8,20,924.35,233.7,4440.97,1837.77,22.73,2.63,0
8,21,1394.43,317.76,7717.59,2919.77,67.49,16.11,1
8,22,964.92,520.76,6843.66,4980.74,55.55,41.8,1
8,6,1788.74,894.18,10463.56,7082.36,105.0,68.0,3
8,23,627.27,207.4,2776.58,1627.03,0.0,0.0,3
9,1,394.11,659.28,5798.19,5621.99,41.28,49.8,0
9,3,860.28,420.22,5885.23,4179.15,42.47,31.82,0
9,2,933.82,649.06,7272.29,5728.27,61.41,51.12,0
9,4,882.99,488.25,6384.83,4733.88,49.29,38.73,0
9,9,639.6,341.66,4437.23,3428.27,22.69,22.46,0
9,5,607.02,469.17,5340.75,4557.87,35.03,36.54,0
9,7,617.91,395.46,4833.54,3957.87,28.1,29.06,0
9,8,965.47,429.75,6350.48,4267.87,48.82,32.92,0
9,10,943.19,352.02,5712.89,3489.64,40.12,23.22,1
9,12,767.78,325.96,4770.01,3226.64,27.24,19.94,0
9,14,1094.31,347.32,6345.53,3406.65,48.76,22.19,1
9,15,1193.27,421.01,7253.53,4195.85,61.16,32.02,1
9,13,1432.31,409.55,8354.23,4082.79,76.19,30.61,1
9,18,1452.08,478.98,8679.92,4753.7,80.64,38.98,1
9,16,1212.04,514.83,7752.76,4990.33,67.98,41.93,1
9,17,926.24,331.15,5466.81,3249.44,36.75,20.23,0
9,11,1175.43,253.12,5958.24,1983.09,43.47,4.44,1
9,19,1491.83,668.54,9246.66,6027.38,88.38,54.85,1
9,20,924.35,233.7,4440.71,1837.5,22.74,2.63,0
9,21,1394.45,317.76,7717.76,2919.67,67.5,16.12,1
9,22,964.92,520.76,6843.51,4980.68,55.56,41.81,1
9,6,1788.75,894.17,10463.32,7082.18,105.0,68.0,3
9,23,627.27,207.39,2775.94,1626.61,0.0,0.0,3
10,1,394.11,659.28,5798.25,5622.04,41.28,49.8,0
10,3,860.28,420.22,5885.28,4179.2,42.47,31.82,0
10,2,933.82,649.06,7272.33,5728.31,61.41,51.12,0
10,4,882.99,488.25,6384.87,4733.93,49.29,38.73,0
10,9,639.6,341.66,4437.27,3428.32,22.69,22.46,0
10,5,607.02,469.17,5340.81,4557.92,35.03,36.54,0
10,7,617.91,395.46,4833.58,3957.92,28.1,29.06,0
10,8,965.47,429.75,6350.53,4267.93,48.82,32.92,0
10,10,943.19,352.02,5712.94,3489.7,40.11,23.22,1
10,12,767.78,325.96,4770.05,3226.69,27.24,19.94,0
10,14,1094.31,347.32,6345.57,3406.7,48.76,22.19,1
10,15,1193.27,421.01,7253.56,4195.9,61.16,32.02,1
10,13,1432.31,409.55,8354.26,4082.85,76.19,30.61,1
10,18,1452.08,478.98,8679.94,4753.74,80.64,38.98,1
10,16,1212.04,514.83,7752.79,4990.38,67.98,41.93,1
10,17,926.24,331.15,5466.86,3249.51,36.75,20.23,0
10,11,1175.43,253.12,5958.27,1983.15,43.47,4.44,1
10,19,1491.83,668.55,9246.68,6027.49,88.38,54.85,1
10,20,924.35,233.7,4440.74,1837.55,22.74,2.63,0
10,21,1394.45,317.76,7717.79,2919.72,67.5,16.12,1
10,22,964.92,520.76,6843.55,4980.73,55.56,41.81,1
10,6,1788.74,894.18,10463.32,7082.21,105.0,68.0,3
10,23,627.27,207.4,2776.04,1626.72,0.0,0.0,3
11,1,394.11,659.28,5798.16,5622.0,41.28,49.8,0
11,3,860.28,420.22,5885.19,4179.17,42.47,31.82,0
11,2,933.82,649.06,7272.26,5728.28,61.41,51.12,0
11,4,882.99,488.25,6384.79,4733.91,49.29,38.73,0
11,9,639.6,341.65,4437.13,3428.23,22.69,22.46,0
11,5,607.02,469.17,5340.72,4557.89,35.03,36.54,0
11,7,617.91,395.46,4833.49,3957.89,28.1,29.06,0
11,8,965.47,429.75,6350.44,4267.91,48.82,32.92,0
11,10,943.19,352.02,5712.84,3489.67,40.11,23.22,1
11,12,767.78,325.96,4769.95,3226.66,27.24,19.94,0
11,14,1094.31,347.32,6345.48,3406.68,48.76,22.19,1
11,15,1193.27,421.01,7253.49,4195.9,61.16,32.02,1
11,13,1432.31,409.55,8354.19,4082.84,76.19,30.61,1
11,18,1452.08,478.99,8679.88,4753.76,80.64,38.98,1
11,16,1212.04,514.83,7752.72,4990.37,67.98,41.93,1
11,17,926.24,331.15,5466.77,3249.5,36.75,20.23,0
11,11,1175.43,253.12,5958.18,1983.14,43.47,4.44,1
11,19,1491.83,668.54,9246.62,6027.42,88.38,54.85,1
11,20,924.35,233.7,4440.64,1837.53,22.74,2.63,0
11,21,1394.45,317.76,7717.71,2919.72,67.5,16.12,1
11,22,964.92,520.76,6843.47,4980.71,55.56,41.81,1
11,6,1788.75,894.18,10463.29,7082.23,105.0,68.0,3
11,23,627.27,207.4,2775.93,1626.68,0.0,0.0,3
